epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
75,3782.03,0.01726,0.10895,0.01282,0.78559,0.9821,0.07566,0.22621,0,0.000527872,0.000527872,0.000527872
76,3841.56,0.01817,0.13887,0.01305,0.78363,0.98188,0.07701,0.22643,0,0.000523749,0.000523749,0.000523749
77,3907.89,0.01793,0.1155,0.01297,0.77897,0.98149,0.07817,0.22692,0,0.000519625,0.000519625,0.000519625
78,3959.86,0.01742,0.11817,0.01263,0.76921,0.98087,0.08299,0.232,0,0.000515502,0.000515502,0.000515502
79,4001.43,0.01752,0.11374,0.01248,0.75748,0.98072,0.08458,0.23785,0,0.000511379,0.000511379,0.000511379
80,4037.17,0.01722,0.11453,0.01275,0.7441,0.98105,0.08288,0.2437,0,0.000507255,0.000507255,0.000507255
81,4072.36,0.01702,0.09618,0.01255,0.73574,0.98103,0.08108,0.24893,0,0.000503132,0.000503132,0.000503132
82,4106.3,0.01723,0.12277,0.01226,0.72844,0.9813,0.08127,0.25357,0,0.000499009,0.000499009,0.000499009
83,4140.64,0.01649,0.07015,0.01178,0.73815,0.98151,0.07917,0.24842,0,0.000494885,0.000494885,0.000494885
84,4174.91,0.01629,0.08453,0.01168,0.74808,0.98177,0.0784,0.24443,0,0.000490762,0.000490762,0.000490762
85,4208.47,0.0165,0.09559,0.01186,0.75606,0.98232,0.07681,0.23862,0,0.000486639,0.000486639,0.000486639
86,4242.83,0.01651,0.10392,0.01202,0.76372,0.98272,0.07534,0.22958,0,0.000482515,0.000482515,0.000482515
87,4277.91,0.01612,0.07189,0.01202,0.77338,0.98288,0.07197,0.22073,0,0.000478392,0.000478392,0.000478392
88,4319.99,0.01591,0.06719,0.01156,0.78577,0.98316,0.07088,0.21358,0,0.000474269,0.000474269,0.000474269
89,4354.19,0.01608,0.10957,0.01141,0.78559,0.98317,0.07121,0.21222,0,0.000470145,0.000470145,0.000470145
90,4386.86,0.01561,0.11468,0.01136,0.79626,0.98379,0.06882,0.20521,0,0.000466022,0.000466022,0.000466022
91,4419.41,0.01539,0.10669,0.01146,0.79774,0.98393,0.06864,0.20461,0,0.000461898,0.000461898,0.000461898
92,4451.51,0.01536,0.08395,0.01135,0.79549,0.98395,0.06919,0.20582,0,0.000457775,0.000457775,0.000457775
93,4483.15,0.01593,0.09517,0.01141,0.78968,0.98361,0.06937,0.20782,0,0.000453652,0.000453652,0.000453652
94,4514.51,0.01549,0.15612,0.01154,0.78912,0.98342,0.07142,0.20835,0,0.000449528,0.000449528,0.000449528
95,4545.38,0.01586,0.08796,0.0116,0.78789,0.98358,0.07109,0.20806,0,0.000445405,0.000445405,0.000445405
96,4576.85,0.01539,0.10804,0.01147,0.78733,0.98359,0.06982,0.20772,0,0.000441282,0.000441282,0.000441282
97,4607.9,0.01535,0.08519,0.01117,0.78722,0.98354,0.06707,0.20669,0,0.000437158,0.000437158,0.000437158
